Location/Location/<|>data/Stats/Patterns Data/LocationLocation.txt<|>1
Undetected/Name/Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedNameUndetectedMobile.txt<|>1
Undetected/Common2/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedName.txt<|>2
Location/Undetected/Undetected/Common1/<|>data/Stats/Patterns Data/LocationUndetectedUndetectedCommon1.txt<|>1
Mobile/email_Name/<|>data/Stats/Patterns Data/MobileemailName.txt<|>1
DOB/Undetected/Undetected/Common1/<|>data/Stats/Patterns Data/DOBUndetectedUndetectedCommon1.txt<|>1
Undetected/Name/DOB/<|>data/Stats/Patterns Data/UndetectedNameDOB.txt<|>1
Undetected/Common1/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon1Mobile.txt<|>1
Mobile/Name/<|>data/Stats/Patterns Data/MobileName.txt<|>2
Undetected/Mobile/Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedMobileUndetectedDOB.txt<|>1
Undetected/Common2/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon2NameUndetected.txt<|>5
Undetected/Name/Common1/Undetected/<|>data/Stats/Patterns Data/UndetectedNameCommon1Undetected.txt<|>4
Undetected/Common1/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1MobileUndetected.txt<|>1
Name/Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/NameUndetectedCommon1Undetected.txt<|>2
Mobile/Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/MobileUndetectedCommon1Undetected.txt<|>1
Common2/Undetected/Name/Common1/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedNameCommon1Undetected.txt<|>1
Undetected/Name/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedNameNameUndetectedName.txt<|>1
Undetected/DOB/Common1/<|>data/Stats/Patterns Data/UndetectedDOBCommon1.txt<|>1
Common2/Name/Undetected/<|>data/Stats/Patterns Data/Common2NameUndetected.txt<|>2
email_Name/Undetected/Mobile/Undetected/<|>data/Stats/Patterns Data/emailNameUndetectedMobileUndetected.txt<|>1
Undetected/Location/Location/Undetected/<|>data/Stats/Patterns Data/UndetectedLocationLocationUndetected.txt<|>1
Undetected/Name/Location/Undetected/<|>data/Stats/Patterns Data/UndetectedNameLocationUndetected.txt<|>1
DOB/Undetected/DOB/Undetected/<|>data/Stats/Patterns Data/DOBUndetectedDOBUndetected.txt<|>1
Mobile/Name/Undetected/<|>data/Stats/Patterns Data/MobileNameUndetected.txt<|>2
