Name/Undetected/Location/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedLocationNameUndetected.txt<|>5
Common1/Common3/Undetected/<|>data/Stats/Patterns Data/Common1Common3Undetected.txt<|>256
Common2/<|>data/Stats/Patterns Data/Common2.txt<|>4713
Mobile/Undetected/Undetected/Common3/<|>data/Stats/Patterns Data/MobileUndetectedUndetectedCommon3.txt<|>4
Location/Undetected/<|>data/Stats/Patterns Data/LocationUndetected.txt<|>2666
Common2/Common3/<|>data/Stats/Patterns Data/Common2Common3.txt<|>20
Mobile/<|>data/Stats/Patterns Data/Mobile.txt<|>20215
Undetected/Common1/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Name.txt<|>4
Undetected/Common1/Common2/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Common2NameUndetectedName.txt<|>1
Common2/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedCommon3Undetected.txt<|>45
Common2/Mobile/Undetected/DOB/<|>data/Stats/Patterns Data/Common2MobileUndetectedDOB.txt<|>12
Mobile/Common2/<|>data/Stats/Patterns Data/MobileCommon2.txt<|>36
Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Undetected.txt<|>4457
Common3/Undetected/Undetected/Name/<|>data/Stats/Patterns Data/Common3UndetectedUndetectedName.txt<|>4
Common2/Name/<|>data/Stats/Patterns Data/Common2Name.txt<|>95
Undetected/<|>data/Stats/Patterns Data/Undetected.txt<|>14993
Common3/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/Common3UndetectedNameUndetected.txt<|>297
Undetected/Common2/Name/<|>data/Stats/Patterns Data/UndetectedCommon2Name.txt<|>13
email_Name/Undetected/Mobile/Undetected/<|>data/Stats/Patterns Data/emailNameUndetectedMobileUndetected.txt<|>22
Common1/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedCommon3Undetected.txt<|>789
Location/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/LocationUndetectedNameUndetected.txt<|>115
Undetected/Common1/Name/Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedMobile.txt<|>2
Common1/Common3/<|>data/Stats/Patterns Data/Common1Common3.txt<|>52
Common1/Undetected/Name/Undetected/Mobile/<|>data/Stats/Patterns Data/Common1UndetectedNameUndetectedMobile.txt<|>8
Undetected/Common2/<|>data/Stats/Patterns Data/UndetectedCommon2.txt<|>815
Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedNameUndetected.txt<|>2495
Common3/Undetected/Name/<|>data/Stats/Patterns Data/Common3UndetectedName.txt<|>30
Common1/Undetected/Undetected/Name/<|>data/Stats/Patterns Data/Common1UndetectedUndetectedName.txt<|>556
Undetected/Common3/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon3NameUndetected.txt<|>498
DOB/Undetected/Common1/Undetected/<|>data/Stats/Patterns Data/DOBUndetectedCommon1Undetected.txt<|>5
Name/Mobile/Undetected/Name/<|>data/Stats/Patterns Data/NameMobileUndetectedName.txt<|>2
Undetected/Name/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedNameMobileUndetected.txt<|>4
Undetected/Name/Name/Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedNameNameUndetectedMobile.txt<|>1
Name/Name/<|>data/Stats/Patterns Data/NameName.txt<|>199
Common1/Undetected/Mobile/<|>data/Stats/Patterns Data/Common1UndetectedMobile.txt<|>1558
DOB/DOB/<|>data/Stats/Patterns Data/DOBDOB.txt<|>52
Mobile/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/MobileUndetectedCommon3Undetected.txt<|>10
DOB/<|>data/Stats/Patterns Data/DOB.txt<|>77
Name/Name/Undetected/<|>data/Stats/Patterns Data/NameNameUndetected.txt<|>185
Name/Undetected/Location/Undetected/<|>data/Stats/Patterns Data/NameUndetectedLocationUndetected.txt<|>170
DOB/Undetected/DOB/<|>data/Stats/Patterns Data/DOBUndetectedDOB.txt<|>6
Common3/Mobile/Undetected/<|>data/Stats/Patterns Data/Common3MobileUndetected.txt<|>3
Undetected/Common2/Common3/Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon2Common3UndetectedMobile.txt<|>1
Undetected/Common2/Undetected/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedMobile.txt<|>175
Name/Undetected/Common3/Undetected/<|>data/Stats/Patterns Data/NameUndetectedCommon3Undetected.txt<|>105
Common2/Undetected/Mobile/<|>data/Stats/Patterns Data/Common2UndetectedMobile.txt<|>498
Undetected/Name/Undetected/Common3/<|>data/Stats/Patterns Data/UndetectedNameUndetectedCommon3.txt<|>4
Common1/Undetected/DOB/<|>data/Stats/Patterns Data/Common1UndetectedDOB.txt<|>418
Undetected/Mobile/Undetected/Common2/<|>data/Stats/Patterns Data/UndetectedMobileUndetectedCommon2.txt<|>3
Common3/Name/<|>data/Stats/Patterns Data/Common3Name.txt<|>38
Common1/Undetected/Common3/Undetected/Name/<|>data/Stats/Patterns Data/Common1UndetectedCommon3UndetectedName.txt<|>17
Undetected/Common3/Name/<|>data/Stats/Patterns Data/UndetectedCommon3Name.txt<|>9
DOB/Undetected/Common1/<|>data/Stats/Patterns Data/DOBUndetectedCommon1.txt<|>2
Undetected/Name/Mobile/<|>data/Stats/Patterns Data/UndetectedNameMobile.txt<|>22
Undetected/Common1/Undetected/DOB/DOB/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedDOBDOB.txt<|>1
Undetected/Common1/Undetected/Location/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedLocation.txt<|>10
Undetected/Common3/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon3UndetectedNameUndetected.txt<|>7
Undetected/Common3/Name/Undetected/DOB/<|>data/Stats/Patterns Data/UndetectedCommon3NameUndetectedDOB.txt<|>1
Name/Undetected/Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedNameUndetectedNameUndetected.txt<|>4
Undetected/Name/Name/Undetected/Name/Name/<|>data/Stats/Patterns Data/UndetectedNameNameUndetectedNameName.txt<|>3
Undetected/Common1/Common3/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1Common3UndetectedName.txt<|>23
Undetected/Common2/Undetected/Name/Name/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedNameName.txt<|>6
Undetected/Common1/Name/Undetected/Common3/Location/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedCommon3Location.txt<|>1
